id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,cabang_pelayanan,jenis_kendaraan,fungsi_kendaraan,jumlah_kendaraan,satuan,tahun
3891,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN, KABUPATEN PANGANDARAN,"BUS, MICROBUS",UMUM,3,UNIT,2020
3892,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN, KABUPATEN PANGANDARAN,"TRUCK, PICK UP",PRIBADI,415,UNIT,2020
3893,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN, KABUPATEN PANGANDARAN,"TRUCK, PICK UP",DINAS,3,UNIT,2020
3894,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN, KABUPATEN PANGANDARAN,"TRUCK, PICK UP",UMUM,40,UNIT,2020
3895,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN, KABUPATEN PANGANDARAN,ALAT BERAT,PRIBADI,0,UNIT,2020
3896,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN, KABUPATEN PANGANDARAN,ALAT BERAT,DINAS,0,UNIT,2020
3897,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN, KABUPATEN PANGANDARAN,ALAT BERAT,UMUM,0,UNIT,2020
3898,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN, KABUPATEN PANGANDARAN,"SEPEDA MOTOR, SCOOTER",PRIBADI,17479,UNIT,2020
3899,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN, KABUPATEN PANGANDARAN,"SEPEDA MOTOR, SCOOTER",DINAS,168,UNIT,2020
3900,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN, KABUPATEN PANGANDARAN,"SEPEDA MOTOR, SCOOTER",UMUM,0,UNIT,2020
3901,32,JAWA BARAT,3271,KOTA BOGOR, KOTA BOGOR,"SEDAN, JEEP, MINIBUS",PRIBADI,6694,UNIT,2020
3902,32,JAWA BARAT,3271,KOTA BOGOR, KOTA BOGOR,"SEDAN, JEEP, MINIBUS",DINAS,42,UNIT,2020
3903,32,JAWA BARAT,3271,KOTA BOGOR, KOTA BOGOR,"SEDAN, JEEP, MINIBUS",UMUM,1196,UNIT,2020
3904,32,JAWA BARAT,3271,KOTA BOGOR, KOTA BOGOR,"SEDAN, JEEP, MINIBUS",PRIBADI,32,UNIT,2020
3905,32,JAWA BARAT,3271,KOTA BOGOR, KOTA BOGOR,"SEDAN, JEEP, MINIBUS",DINAS,12,UNIT,2020
3906,32,JAWA BARAT,3271,KOTA BOGOR, KOTA BOGOR,"SEDAN, JEEP, MINIBUS",UMUM,107,UNIT,2020
3907,32,JAWA BARAT,3271,KOTA BOGOR, KOTA BOGOR,"BUS, MICROBUS",PRIBADI,1463,UNIT,2020
3908,32,JAWA BARAT,3271,KOTA BOGOR, KOTA BOGOR,"BUS, MICROBUS",DINAS,67,UNIT,2020
3909,32,JAWA BARAT,3271,KOTA BOGOR, KOTA BOGOR,"BUS, MICROBUS",UMUM,19,UNIT,2020
3910,32,JAWA BARAT,3271,KOTA BOGOR, KOTA BOGOR,"BUS, MICROBUS",PRIBADI,0,UNIT,2020
3911,32,JAWA BARAT,3271,KOTA BOGOR, KOTA BOGOR,"BUS, MICROBUS",DINAS,0,UNIT,2020
3912,32,JAWA BARAT,3271,KOTA BOGOR, KOTA BOGOR,"BUS, MICROBUS",UMUM,0,UNIT,2020
3913,32,JAWA BARAT,3271,KOTA BOGOR, KOTA BOGOR,"TRUCK, PICK UP",PRIBADI,86869,UNIT,2020
3914,32,JAWA BARAT,3271,KOTA BOGOR, KOTA BOGOR,"TRUCK, PICK UP",DINAS,330,UNIT,2020
3915,32,JAWA BARAT,3271,KOTA BOGOR, KOTA BOGOR,"TRUCK, PICK UP",UMUM,0,UNIT,2020
3916,32,JAWA BARAT,3272,KOTA SUKABUMI, KOTA SUKABUMI,"TRUCK, PICK UP",PRIBADI,1380,UNIT,2020
3917,32,JAWA BARAT,3272,KOTA SUKABUMI, KOTA SUKABUMI,"TRUCK, PICK UP",DINAS,10,UNIT,2020
3918,32,JAWA BARAT,3272,KOTA SUKABUMI, KOTA SUKABUMI,"TRUCK, PICK UP",UMUM,915,UNIT,2020
3919,32,JAWA BARAT,3272,KOTA SUKABUMI, KOTA SUKABUMI,ALAT BERAT,PRIBADI,5,UNIT,2020
3920,32,JAWA BARAT,3272,KOTA SUKABUMI, KOTA SUKABUMI,ALAT BERAT,DINAS,1,UNIT,2020
3921,32,JAWA BARAT,3272,KOTA SUKABUMI, KOTA SUKABUMI,ALAT BERAT,UMUM,185,UNIT,2020
3922,32,JAWA BARAT,3272,KOTA SUKABUMI, KOTA SUKABUMI,ALAT BERAT,PRIBADI,650,UNIT,2020
3923,32,JAWA BARAT,3272,KOTA SUKABUMI, KOTA SUKABUMI,ALAT BERAT,DINAS,7,UNIT,2020
3924,32,JAWA BARAT,3272,KOTA SUKABUMI, KOTA SUKABUMI,ALAT BERAT,UMUM,30,UNIT,2020
3925,32,JAWA BARAT,3272,KOTA SUKABUMI, KOTA SUKABUMI,"SEPEDA MOTOR, SCOOTER",PRIBADI,0,UNIT,2020
3926,32,JAWA BARAT,3272,KOTA SUKABUMI, KOTA SUKABUMI,"SEPEDA MOTOR, SCOOTER",DINAS,0,UNIT,2020
3927,32,JAWA BARAT,3272,KOTA SUKABUMI, KOTA SUKABUMI,"SEPEDA MOTOR, SCOOTER",UMUM,0,UNIT,2020
3928,32,JAWA BARAT,3272,KOTA SUKABUMI, KOTA SUKABUMI,"SEPEDA MOTOR, SCOOTER",PRIBADI,21567,UNIT,2020
3929,32,JAWA BARAT,3272,KOTA SUKABUMI, KOTA SUKABUMI,"SEPEDA MOTOR, SCOOTER",DINAS,90,UNIT,2020
3930,32,JAWA BARAT,3272,KOTA SUKABUMI, KOTA SUKABUMI,"SEPEDA MOTOR, SCOOTER",UMUM,0,UNIT,2020
3931,32,JAWA BARAT,3273,KOTA BANDUNG, KOTA BANDUNG I PJJRN,"SEDAN, JEEP, MINIBUS",PRIBADI,9211,UNIT,2020
3932,32,JAWA BARAT,3273,KOTA BANDUNG, KOTA BANDUNG I PJJRN,"SEDAN, JEEP, MINIBUS",DINAS,52,UNIT,2020
3933,32,JAWA BARAT,3273,KOTA BANDUNG, KOTA BANDUNG I PJJRN,"SEDAN, JEEP, MINIBUS",UMUM,619,UNIT,2020
3934,32,JAWA BARAT,3273,KOTA BANDUNG, KOTA BANDUNG I PJJRN,"BUS, MICROBUS",PRIBADI,118,UNIT,2020
3935,32,JAWA BARAT,3273,KOTA BANDUNG, KOTA BANDUNG I PJJRN,"BUS, MICROBUS",DINAS,4,UNIT,2020
3936,32,JAWA BARAT,3273,KOTA BANDUNG, KOTA BANDUNG I PJJRN,"BUS, MICROBUS",UMUM,111,UNIT,2020
3937,32,JAWA BARAT,3273,KOTA BANDUNG, KOTA BANDUNG I PJJRN,"TRUCK, PICK UP",PRIBADI,2657,UNIT,2020
3938,32,JAWA BARAT,3273,KOTA BANDUNG, KOTA BANDUNG I PJJRN,"TRUCK, PICK UP",DINAS,37,UNIT,2020
3939,32,JAWA BARAT,3273,KOTA BANDUNG, KOTA BANDUNG I PJJRN,"TRUCK, PICK UP",UMUM,254,UNIT,2020
3940,32,JAWA BARAT,3273,KOTA BANDUNG, KOTA BANDUNG I PJJRN,ALAT BERAT,PRIBADI,0,UNIT,2020
3941,32,JAWA BARAT,3273,KOTA BANDUNG, KOTA BANDUNG I PJJRN,ALAT BERAT,DINAS,0,UNIT,2020
3942,32,JAWA BARAT,3273,KOTA BANDUNG, KOTA BANDUNG I PJJRN,ALAT BERAT,UMUM,0,UNIT,2020
3943,32,JAWA BARAT,3273,KOTA BANDUNG, KOTA BANDUNG I PJJRN,"SEPEDA MOTOR, SCOOTER",PRIBADI,84922,UNIT,2020
3944,32,JAWA BARAT,3273,KOTA BANDUNG, KOTA BANDUNG I PJJRN,"SEPEDA MOTOR, SCOOTER",DINAS,173,UNIT,2020
