id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,cabang_pelayanan,jenis_kendaraan,fungsi_kendaraan,jumlah_kendaraan,satuan,tahun
67,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG I RC.EKEK,"BUS, MICROBUS",PRIBADI,16,UNIT,2013
68,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG I RC.EKEK,"BUS, MICROBUS",DINAS,0,UNIT,2013
69,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG I RC.EKEK,"BUS, MICROBUS",UMUM,33,UNIT,2013
70,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG II SOREANG,"BUS, MICROBUS",PRIBADI,18,UNIT,2013
71,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG II SOREANG,"BUS, MICROBUS",DINAS,10,UNIT,2013
72,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG II SOREANG,"BUS, MICROBUS",UMUM,50,UNIT,2013
73,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG I RC.EKEK,"TRUCK, PICK UP",PRIBADI,1237,UNIT,2013
74,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG I RC.EKEK,"TRUCK, PICK UP",DINAS,0,UNIT,2013
75,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG I RC.EKEK,"TRUCK, PICK UP",UMUM,79,UNIT,2013
76,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG II SOREANG,"TRUCK, PICK UP",PRIBADI,1386,UNIT,2013
77,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG II SOREANG,"TRUCK, PICK UP",DINAS,17,UNIT,2013
78,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG II SOREANG,"TRUCK, PICK UP",UMUM,121,UNIT,2013
79,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG I RC.EKEK,ALAT BERAT,PRIBADI,0,UNIT,2013
80,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG I RC.EKEK,ALAT BERAT,DINAS,0,UNIT,2013
81,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG I RC.EKEK,ALAT BERAT,UMUM,0,UNIT,2013
82,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG II SOREANG,ALAT BERAT,PRIBADI,0,UNIT,2013
83,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG II SOREANG,ALAT BERAT,DINAS,0,UNIT,2013
84,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG II SOREANG,ALAT BERAT,UMUM,0,UNIT,2013
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG I RC.EKEK,"SEPEDA MOTOR, SCOOTER",PRIBADI,43927,UNIT,2013
86,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG I RC.EKEK,"SEPEDA MOTOR, SCOOTER",DINAS,12,UNIT,2013
87,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG I RC.EKEK,"SEPEDA MOTOR, SCOOTER",UMUM,0,UNIT,2013
88,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG II SOREANG,"SEPEDA MOTOR, SCOOTER",PRIBADI,45210,UNIT,2013
89,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG II SOREANG,"SEPEDA MOTOR, SCOOTER",DINAS,272,UNIT,2013
90,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG II SOREANG,"SEPEDA MOTOR, SCOOTER",UMUM,0,UNIT,2013
91,32,JAWA BARAT,3205,KABUPATEN GARUT,KABUPATEN GARUT,"SEDAN, JEEP, MINIBUS",PRIBADI,849,UNIT,2013
92,32,JAWA BARAT,3205,KABUPATEN GARUT,KABUPATEN GARUT,"SEDAN, JEEP, MINIBUS",DINAS,59,UNIT,2013
93,32,JAWA BARAT,3205,KABUPATEN GARUT,KABUPATEN GARUT,"SEDAN, JEEP, MINIBUS",UMUM,108,UNIT,2013
94,32,JAWA BARAT,3205,KABUPATEN GARUT,KABUPATEN GARUT,"BUS, MICROBUS",PRIBADI,8,UNIT,2013
95,32,JAWA BARAT,3205,KABUPATEN GARUT,KABUPATEN GARUT,"BUS, MICROBUS",DINAS,5,UNIT,2013
96,32,JAWA BARAT,3205,KABUPATEN GARUT,KABUPATEN GARUT,"BUS, MICROBUS",UMUM,77,UNIT,2013
97,32,JAWA BARAT,3205,KABUPATEN GARUT,KABUPATEN GARUT,"TRUCK, PICK UP",PRIBADI,1289,UNIT,2013
98,32,JAWA BARAT,3205,KABUPATEN GARUT,KABUPATEN GARUT,"TRUCK, PICK UP",DINAS,15,UNIT,2013
99,32,JAWA BARAT,3205,KABUPATEN GARUT,KABUPATEN GARUT,"TRUCK, PICK UP",UMUM,65,UNIT,2013
100,32,JAWA BARAT,3205,KABUPATEN GARUT,KABUPATEN GARUT,ALAT BERAT,PRIBADI,0,UNIT,2013
101,32,JAWA BARAT,3205,KABUPATEN GARUT,KABUPATEN GARUT,ALAT BERAT,DINAS,0,UNIT,2013
102,32,JAWA BARAT,3205,KABUPATEN GARUT,KABUPATEN GARUT,ALAT BERAT,UMUM,0,UNIT,2013
103,32,JAWA BARAT,3205,KABUPATEN GARUT,KABUPATEN GARUT,"SEPEDA MOTOR, SCOOTER",PRIBADI,35882,UNIT,2013
104,32,JAWA BARAT,3205,KABUPATEN GARUT,KABUPATEN GARUT,"SEPEDA MOTOR, SCOOTER",DINAS,370,UNIT,2013
105,32,JAWA BARAT,3205,KABUPATEN GARUT,KABUPATEN GARUT,"SEPEDA MOTOR, SCOOTER",UMUM,0,UNIT,2013
106,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KABUPATEN TASIKMALAYA,"SEDAN, JEEP, MINIBUS",PRIBADI,499,UNIT,2013
107,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KABUPATEN TASIKMALAYA,"SEDAN, JEEP, MINIBUS",DINAS,25,UNIT,2013
108,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KABUPATEN TASIKMALAYA,"SEDAN, JEEP, MINIBUS",UMUM,81,UNIT,2013
109,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KABUPATEN TASIKMALAYA,"BUS, MICROBUS",PRIBADI,6,UNIT,2013
110,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KABUPATEN TASIKMALAYA,"BUS, MICROBUS",DINAS,1,UNIT,2013
111,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KABUPATEN TASIKMALAYA,"BUS, MICROBUS",UMUM,44,UNIT,2013
112,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KABUPATEN TASIKMALAYA,"TRUCK, PICK UP",PRIBADI,691,UNIT,2013
113,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KABUPATEN TASIKMALAYA,"TRUCK, PICK UP",DINAS,5,UNIT,2013
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KABUPATEN TASIKMALAYA,"TRUCK, PICK UP",UMUM,115,UNIT,2013
115,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KABUPATEN TASIKMALAYA,ALAT BERAT,PRIBADI,0,UNIT,2013
116,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KABUPATEN TASIKMALAYA,ALAT BERAT,DINAS,0,UNIT,2013
117,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KABUPATEN TASIKMALAYA,ALAT BERAT,UMUM,0,UNIT,2013
118,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KABUPATEN TASIKMALAYA,"SEPEDA MOTOR, SCOOTER",PRIBADI,18241,UNIT,2013
119,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KABUPATEN TASIKMALAYA,"SEPEDA MOTOR, SCOOTER",DINAS,406,UNIT,2013
120,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KABUPATEN TASIKMALAYA,"SEPEDA MOTOR, SCOOTER",UMUM,0,UNIT,2013
121,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KABUPATEN CIAMIS I,"SEDAN, JEEP, MINIBUS",PRIBADI,643,UNIT,2013
122,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KABUPATEN CIAMIS I,"SEDAN, JEEP, MINIBUS",DINAS,26,UNIT,2013
123,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KABUPATEN CIAMIS I,"SEDAN, JEEP, MINIBUS",UMUM,89,UNIT,2013
124,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KABUPATEN CIAMIS I,"BUS, MICROBUS",PRIBADI,5,UNIT,2013
125,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KABUPATEN CIAMIS I,"BUS, MICROBUS",DINAS,2,UNIT,2013
126,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KABUPATEN CIAMIS I,"BUS, MICROBUS",UMUM,64,UNIT,2013
127,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KABUPATEN CIAMIS I,"TRUCK, PICK UP",PRIBADI,678,UNIT,2013
128,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KABUPATEN CIAMIS I,"TRUCK, PICK UP",DINAS,16,UNIT,2013
129,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KABUPATEN CIAMIS I,"TRUCK, PICK UP",UMUM,90,UNIT,2013
130,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KABUPATEN CIAMIS I,ALAT BERAT,PRIBADI,0,UNIT,2013
131,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KABUPATEN CIAMIS I,ALAT BERAT,DINAS,0,UNIT,2013
132,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KABUPATEN CIAMIS I,ALAT BERAT,UMUM,0,UNIT,2013
133,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KABUPATEN CIAMIS I,"SEPEDA MOTOR, SCOOTER",PRIBADI,20042,UNIT,2013
134,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KABUPATEN CIAMIS I,"SEPEDA MOTOR, SCOOTER",DINAS,428,UNIT,2013
135,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KABUPATEN CIAMIS I,"SEPEDA MOTOR, SCOOTER",UMUM,0,UNIT,2013
136,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KABUPATEN KUNINGAN,"SEDAN, JEEP, MINIBUS",PRIBADI,769,UNIT,2013
137,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KABUPATEN KUNINGAN,"SEDAN, JEEP, MINIBUS",DINAS,22,UNIT,2013
138,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KABUPATEN KUNINGAN,"SEDAN, JEEP, MINIBUS",UMUM,70,UNIT,2013
139,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KABUPATEN KUNINGAN,"BUS, MICROBUS",PRIBADI,4,UNIT,2013
140,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KABUPATEN KUNINGAN,"BUS, MICROBUS",DINAS,5,UNIT,2013
141,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KABUPATEN KUNINGAN,"BUS, MICROBUS",UMUM,34,UNIT,2013
142,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KABUPATEN KUNINGAN,"TRUCK, PICK UP",PRIBADI,634,UNIT,2013
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KABUPATEN KUNINGAN,"TRUCK, PICK UP",DINAS,10,UNIT,2013
144,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KABUPATEN KUNINGAN,"TRUCK, PICK UP",UMUM,58,UNIT,2013
145,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KABUPATEN KUNINGAN,ALAT BERAT,PRIBADI,0,UNIT,2013
146,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KABUPATEN KUNINGAN,ALAT BERAT,DINAS,0,UNIT,2013
147,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KABUPATEN KUNINGAN,ALAT BERAT,UMUM,0,UNIT,2013
148,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KABUPATEN KUNINGAN,"SEPEDA MOTOR, SCOOTER",PRIBADI,24418,UNIT,2013
149,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KABUPATEN KUNINGAN,"SEPEDA MOTOR, SCOOTER",DINAS,284,UNIT,2013
150,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KABUPATEN KUNINGAN,"SEPEDA MOTOR, SCOOTER",UMUM,0,UNIT,2013
151,32,JAWA BARAT,3209,KABUPATEN CIREBON,KABUPATEN CIREBON I SBR,"SEDAN, JEEP, MINIBUS",PRIBADI,1266,UNIT,2013
152,32,JAWA BARAT,3209,KABUPATEN CIREBON,KABUPATEN CIREBON I SBR,"SEDAN, JEEP, MINIBUS",DINAS,38,UNIT,2013
153,32,JAWA BARAT,3209,KABUPATEN CIREBON,KABUPATEN CIREBON I SBR,"SEDAN, JEEP, MINIBUS",UMUM,201,UNIT,2013
154,32,JAWA BARAT,3209,KABUPATEN CIREBON,KABUPATEN CIREBON II CLDG,"SEDAN, JEEP, MINIBUS",PRIBADI,359,UNIT,2013
155,32,JAWA BARAT,3209,KABUPATEN CIREBON,KABUPATEN CIREBON II CLDG,"SEDAN, JEEP, MINIBUS",DINAS,3,UNIT,2013
156,32,JAWA BARAT,3209,KABUPATEN CIREBON,KABUPATEN CIREBON II CLDG,"SEDAN, JEEP, MINIBUS",UMUM,35,UNIT,2013
157,32,JAWA BARAT,3209,KABUPATEN CIREBON,KABUPATEN CIREBON I SBR,"BUS, MICROBUS",PRIBADI,10,UNIT,2013
158,32,JAWA BARAT,3209,KABUPATEN CIREBON,KABUPATEN CIREBON I SBR,"BUS, MICROBUS",DINAS,1,UNIT,2013
159,32,JAWA BARAT,3209,KABUPATEN CIREBON,KABUPATEN CIREBON I SBR,"BUS, MICROBUS",UMUM,40,UNIT,2013
160,32,JAWA BARAT,3209,KABUPATEN CIREBON,KABUPATEN CIREBON II CLDG,"BUS, MICROBUS",PRIBADI,2,UNIT,2013
161,32,JAWA BARAT,3209,KABUPATEN CIREBON,KABUPATEN CIREBON II CLDG,"BUS, MICROBUS",DINAS,0,UNIT,2013
162,32,JAWA BARAT,3209,KABUPATEN CIREBON,KABUPATEN CIREBON II CLDG,"BUS, MICROBUS",UMUM,41,UNIT,2013
163,32,JAWA BARAT,3209,KABUPATEN CIREBON,KABUPATEN CIREBON I SBR,"TRUCK, PICK UP",PRIBADI,1227,UNIT,2013
164,32,JAWA BARAT,3209,KABUPATEN CIREBON,KABUPATEN CIREBON I SBR,"TRUCK, PICK UP",DINAS,8,UNIT,2013
